gamma,kernel,nu,mean_f1,std_f1,mean_recall,std_recall,mean_precision,std_precision,mean_auc
auto,rbf,0.25,0.4225449077652305,0.008584593309148923,0.47961885582158575,0.015108354428782216,0.37776173472475594,0.0071148332737029476,0.6177144789328971
scale,rbf,0.25,0.4112460638776428,0.0033446028421846206,0.46944382287859576,0.005747814029537259,0.36594202898550726,0.004518909887408137,0.6195772353059391
auto,rbf,0.2,0.3788637606089284,0.014547850216700032,0.3869775739041794,0.020553129579444582,0.37126234743385256,0.009728617830414983,0.6186563749110804
scale,rbf,0.2,0.368799998653563,0.014353225376883766,0.3778032619775739,0.020073559782260185,0.3604516317016317,0.010732225755199378,0.630171102365726
auto,rbf,0.15,0.32669990951421174,0.033338251578969476,0.28819832923099875,0.03091396631210252,0.37763305635975786,0.037977337212416994,0.6058953984102237
scale,rbf,0.15,0.31824548359058696,0.02083922194587144,0.28208833693841523,0.016798679813380856,0.36553804031764164,0.02928574552088884,0.6221304562517699
auto,rbf,0.1,0.2332578403219665,0.01038787722278799,0.17820603664752244,0.005131907905793819,0.33909228388890295,0.0319588416478217,0.6529409925184035
scale,rbf,0.1,0.2201358823265496,0.018699033761279616,0.1670209592004177,0.010609009285549165,0.32368598953606303,0.040842630287238266,0.663436569116666
auto,poly,0.25,0.1807141934445645,0.00851166327793097,0.21282725441933317,0.007919774624634151,0.1572303213779427,0.010284210045061542,0.6007774658886681
scale,poly,0.25,0.18000376763002857,0.008154718199993255,0.21180788642748813,0.007057169248107087,0.1566882751198038,0.009925646662428844,0.6007736377849313
scale,poly,0.2,0.1663183748144271,0.012178604129923352,0.17515104050123068,0.01005797644303419,0.1587591824716333,0.015966094852986,0.5896954040381752
auto,poly,0.2,0.16622838536491424,0.012099349863248827,0.17515104050123068,0.01005797644303419,0.15857892837551432,0.015756643193426234,0.5896938774317674
auto,poly,0.15,0.15360370818937255,0.02263699620639978,0.14154297506277816,0.019031887516109607,0.16846206727683857,0.02883940579467804,0.5791042082780556
scale,poly,0.15,0.14769131712172107,0.016234037036545402,0.1354360905994381,0.012546464086267821,0.16306751491058336,0.02328994501866383,0.5790700745487952
auto,rbf,0.05,0.11688851871214717,0.008212789755887656,0.07536175132393526,0.003909785060761431,0.26171103040261917,0.03412859712460427,0.6821297658718549
auto,poly,0.1,0.11642638706858892,0.01673247350309043,0.09265371323438004,0.01024629479595553,0.15762651046414647,0.03245782060100525,0.5663332202250185
scale,rbf,0.05,0.11605665037672437,0.006984145303724759,0.07535864349469183,0.002937370526756206,0.25437876299945267,0.03466202608821885,0.7015991777766519
scale,poly,0.1,0.11366639020148527,0.01711825015930576,0.08959871708808831,0.011125552957726199,0.15626846406511669,0.032015296214695926,0.5662906105984514
auto,poly,0.05,0.06287710062765743,0.013648757483630487,0.042760622560354046,0.008949124765259268,0.11890124902419985,0.02864675715520906,0.5629659527094987
scale,poly,0.05,0.06004632084064001,0.01094971592628421,0.0407281022351508,0.007175283845455389,0.11471802068714591,0.02431996191637506,0.5630654682473595
